abadejo	abadejos
abandono	abandonos
abanico	abanicos
abano	abanos
abaratar	abaratándose|abaratares|abaratáis|abarátenlos|abaraten|abaratara|abarataseis|abaratareis|abaratá|abaratarles|abaratémoste|abarátenlo|abarataban|abarataren|abarátense|abarates|abaratáramos|abaratando|abarátelas|abaratándonos|abarataos|abarátalas|abarátele|abaratan|abaratases|abaratarlos|abaratarlas|abaratés|abaratarnos|abaratéis|abarataran|abaratabais|abaráteles|abarátenlas|abaratados|abaratarais|abarató|abarataríamos|abarátalo|abaratadlos|abarataste|abaratarlo|abaratarán|abaratarla|abaratémonos|abaratarle|abarataré|abaratémoos|abarátenme|abaratarme|abaratabas|abaratad|abarátalos|abaratás|abaratémoslo|abarata|abaratáremos|abaratemos|abarátanos|abaratándolos|abaratadles|abarataría|abarataras|abarataréis|abaráteme|abaratémoslas|abaratamos|abaratado|abarátela|abarátese|abarátate|abarataba|abaratare|abaratarías|abarataros|abarate|abaratándote|abaraté|abarátelos|abaratadas|abarátale|abaratémosles|abaratarás|abaratarían|abaratándoles|abaratará|abarátenos|abaratábamos|abaratase|abarátales|abaratadlas|abaratasteis|abaratándolas|abaratarse|abaratémosla|abarátenles|abarátenla|abaratémosle|abaratándola|abaratasen|abarátenle|abarátennos|abaratas|abaratémoslos|abaratándolo|abarátelo|abaratándome|abarataron|abaratadlo|abaratada|abaratándole|abarátala|abarataremos|abaratásemos|abaratadla|abarato|abarataríais|abarátame|abaratadnos|abaratadle|abaratarte|abaratadme|abaratándoos
abarca	abarcas
abarrar	abarres|abarrés|abarrarían|abarraríamos|abarrásemos|abarro|abarrado|abarraría|abarrasen|abarrada|abarremos|abarraré|abarren|abarraras|abarrad|abarrases|abarrados|abarrá|abarrabas|abarraríais|abarrábamos|abarradas|abarró|abarrarías|abarraran|abarréis|abarráramos|abarra|abarré|abarraseis|abarrarais|abarraba|abarráremos|abarraren|abarrasteis|abarrás|abarrare|abarrabais|abarran|abarraron|abarraban|abarrarán|abarrará|abarraremos|abarrareis|abarre|abarras|abarrase|abarrares|abarrando|abarrarás|abarrara|abarraste|abarráis|abarramos|abarraréis
abastecedor	abastecedora|abastecedoras|abastecedores
abastecimiento	abastecimientos
abatido	abatida|abatidas|abatidos
abatimiento	abatimientos
abatir	abata|abátenos|abatiéndonos|abatirlo|abátala|abatámoslo|abatámosles|abátanlo|abátanme|abatirse|abatirán|abatiera|abatiéndoles|abatidas|abatiéndolos|abatiéndola|abátanle|abatiese|abate|abatiésemos|abátanse|abatiros|abatidnos|abatiéndole|abatidlo|abatas|abatí|abátannos|abatámonos|abatidlos|abatidla|abates|abatieses|abátanlos|abatirla|abatiéndose|abatiéndote|abatida|abatido|abatiereis|abatiéramos|abatiendo|abatirle|abatámoste|abatirnos|abato|abatirás|abátele|abatámoslos|abatámosla|abatan|abatirá|abatió|abátete|abátanles|abatirlos|abatiéndolas|abatiesen|abatámoos|abatirme|abátanla|abatieseis|abátelas|abatáis|abátelo|abátelos|abatidlas|abatíamos|abatiríais|abatid|abatiré|abátale|abatiríamos|abatían|abatidos|abatisteis|abatieren|abatiremos|abatieron|abaten|abatirían|abatiéremos|abatidles|abatirlas|abatíais|abátalos|abáteme|abatiéndolo|abátalo|abatíos|abatieras|abatimos|abatiría|abátanos|abatieran|abatiere|abátela|abátales|abatiste|abatidme|abatiéndoos|abátalas|abáteles|abátanlas|abatía|abatieres|abátame|abatís|abatirte|abatiréis|abatierais|abatás|abatías|abatámoslas|abatamos|abatidle|abatiéndome|abatirles|abatámosle|abatirías|abátase
abc	abcs
abdicación	abdicaciones
abdicar	abdicarse|abdicaréis|abdiquémosla|abdíquelas|abdícanos|abdique|abdiquémoste|abdicares|abdíquennos|abdicándonos|abdíquense|abdicaran|abdicándole|abdicad|abdicándolas|abdicaros|abdica|abdicadlas|abdiquémosle|abdíquenlas|abdicaba|abdíquenlos|abdícate|abdicarías|abdicará|abdicados|abdiqué|abdicándote|abdíqueles|abdicareis|abdiqués|abdiquémosles|abdíquele|abdicaré|abdican|abdicases|abdicarnos|abdiquemos|abdicase|abdícala|abdíquelos|abdicasen|abdicadles|abdicarlo|abdicaremos|abdicándoles|abdicamos|abdicáis|abdicándome|abdíqueme|abdico|abdicaos|abdíquenles|abdicaban|abdicándolo|abdiquémoslo|abdicábamos|abdicarla|abdicaste|abdícalas|abdicarme|abdiquen|abdícalo|abdicarlos|abdicáramos|abdíquenme|abdicándola|abdíquenla|abdicaras|abdicarte|abdicando|abdiques|abdicándose|abdicara|abdicaren|abdicarles|abdicarán|abdícale|abdicadme|abdicarlas|abdicado|abdicas|abdicadlo|abdicadnos|abdícame|abdícalos|abdicabas|abdicándoos|abdíquela|abdíquese|abdicadas|abdicándolos|abdicadlos|abdicarle|abdiquéis|abdicare|abdicasteis|abdicás|abdicadle|abdicaseis|abdíquenos|abdiquémoslos|abdíquenlo|abdiquémoslas|abdicaron|abdicáremos|abdíquelo|abdicá|abdicaría|abdicaríamos|abdicó|abdicaríais|abdicada|abdicabais|abdicásemos|abdicarais|abdiquémoos|abdíquenle|abdicadla|abdiquémonos|abdícales|abdicarían|abdicarás
abdomen	abdómenes
abdominal	abdominales
abducción	abducciones
abecedario	abecedarios
abecé	abecés
abedul	abedules
abeja	abejas
abejar	abejares
abejorro	abejorros
aberración	aberraciones
abertal	abertales
abertura	aberturas
abeto	abetos
abierto	abiertas|abierta|abiertos
abigarrado	abigarrados|abigarradas|abigarrada
abigarramiento	abigarramientos
abismal	abismales
abismo	abismos
abjurar	abjuradles|abjuradlas|abjurémoos|abjuraseis|abjúranos|abjuré|abjúrale|abjuramos|abjurándose|abjuraron|abjuraren|abjurándolo|abjurares|abjurad|abjurá|abjúralos|abjuraran|abjurase|abjurarte|abjurabas|abjurémosla|abjurasteis|abjuren|abjuráremos|abjúrenlo|abjúrenos|abjurábamos|abjúrenme|abjurases|abjurareis|abjurándole|abjúrennos|abjuras|abjurará|abjurabais|abjuraremos|abjuraréis|abjure|abjurándoos|abjurasen|abjuraban|abjuradle|abjúrenle|abjuráis|abjúrele|abjurado|abjurémoslas|abjuraros|abjurándome|abjurándolos|abjuraría|abjurémoslos|abjuremos|abjurarlas|abjúrenlas|abjurásemos|abjúralas|abjuraste|abjurándoles|abjurémoste|abjuraras|abjuradla|abjuran|abjurarlo|abjurarnos|abjurarán|abjurarme|abjurara|abjurémonos|abjures|abjurada|abjuró|abjurarse|abjúrenla|abjuraba|abjuraos|abjúrelas|abjurare|abjurarles|abjuradlo|abjúreme|abjúreles|abjurarás|abjurarlos|abjuradas|abjurándolas|abjurás|abjúrese|abjurémosles|abjurés|abjúrela|abjúrelos|abjurados|abjuraríais|abjúrame|abjuráramos|abjúrala|abjurarla|abjurándote|abjuradme|abjúrelo|abjuradnos|abjurémoslo|abjurándonos|abjuraré|abjúrenles|abjurémosle|abjúrense|abjúralo|abjurando|abjúrenlos|abjuro|abjuradlos|abjúrales|abjuraríamos|abjurarais|abjurarías|abjuréis|abjura|abjurarían|abjúrate|abjurándola|abjurarle
ablación	ablaciones
ablandar	ablándenme|ablandándolas|ablandándonos|ablandémoste|ablándela|ablandéis|ablandaran|ablándennos|ablandarías|ablandándolos|ablandémoos|ablandándome|ablandarte|ablandarla|ablándame|ablanden|ablandé|ablandábamos|ablandadme|ablandarán|ablandemos|ablandarnos|ablandándola|ablándenlos|ablandarles|ablandémosles|ablandadas|ablandan|ablándalas|ablandémoslo|ablandás|ablándanos|ablandadla|ablandaren|ablándales|ablandarás|ablandémoslas|ablándenles|ablándenle|ablandarlos|ablandamos|ablandémosla|ablándala|ablándele|ablandarais|ablandarse|ablándale|ablandareis|ablandaros|ablandándote|ablandáremos|ablandad|ablándeles|ablandaste|ablandaré|ablándate|ablandare|ablandándose|ablandándoles|ablandés|ablandadlo|ablandarían|ablandaba|ablandes|ablandarle|ablándese|ablandadle|ablandaréis|ablandasen|ablándelos|ablandándolo|ablandaríamos|ablandares|ablandaríais|ablandaron|ablandando|ablandaría|ablándenla|ablande|ablandarlo|ablandará|ablándeme|ablandaban|ablandémonos|ablandaos|ablandaseis|ablandara|ablándalos|ablandaremos|ablandase|ablandándoos|ablandá|ablandémosle|ablandados|ablándense|ablandado|ablandas|ablándelas|ablandándole|ablandáis|ablándenlas|ablandarme|ablándenos|ablandadlas|ablandó|ablandadnos|ablándenlo|ablandaras|ablando|ablandadlos|ablandabais|ablandabas|ablándelo|ablanda|ablándalo|ablandáramos|ablandarlas|ablandadles|ablandásemos|ablandémoslos|ablandasteis|ablandases|ablandada
ablativo	ablativas|ablativos|ablativa
ablución	abluciones
abnegación	abnegaciones
abnegado	abnegados|abnegada|abnegadas
abocetado	abocetadas|abocetados|abocetada
abogacía	abogacías
abogado	abogada|abogadas|abogados
abogar	abóguelo|abogándola|abogaros|abogarte|abogabas|aboguéis|abogarais|abogares|abóguennos|abogarlos|abógame|abógate|abogados|abogado|abogándose|abogad|abóguelos|aboguémoos|abogués|abogarle|abogáremos|abógalos|abóguenla|abogarlas|abógale|aboguémoslas|abogare|abogadme|abóguense|aboguémoste|abogamos|abogan|abogándolas|abóguelas|abogáis|abogareis|abogándoles|aboguémosle|abogadas|abogábamos|abogarse|abogara|abogaría|aboguémoslos|abogadles|aboguémosles|abogase|abóguenlo|abógalas|abogaba|abogaos|abogaste|abogaren|abogaré|abogues|abóguenle|abogarás|abogarles|abógales|aboguemos|aboguen|abogarlo|abogándonos|abogaran|abóguese|aboguémonos|abogásemos|abogará|abóguenlas|abogándome|abogando|abóguenos|abógueme|abogas|abogasteis|abóguenles|abogadlos|abogaras|abóguele|abogaremos|abogadla|abogue|abogarán|abogarían|abogaban|abogarme|abogadle|abogándoos|abogándole|abogada|abogabais|abogás|abogándote|abogasen|abogué|abogaríamos|abogarla|abóguela|abóguenme|abogaron|aboguémoslo|abogaréis|abogadlas|abogaríais|abogó|abogo|abógala|abogándolo|abógueles|abogaseis|abogándolos|aboguémosla|abogadnos|abóguenlos|aboga|abogarnos|abogáramos|abogá|abogadlo|abogases|abógalo|abogarías|abóganos
abolicionista	abolicionistas
abolición	aboliciones
abolir	abólanla|abolidas|abolido|abolidlos|abólelos|abolirás|abolámoos|abólale|abólalas|abólanlos|abolieres|aboles|aboliremos|abólalos|abolíos|abolás|aboliéndola|abolió|aboliéndoles|abóleles|abolid|abolirla|abolirán|aboliéndolos|abolirme|abólanlas|aboliesen|aboláis|abólenos|abólales|aboliéndome|abolan|aboliereis|abolís|abolían|aboliendo|abolas|abolieses|abolirle|aboliste|aboliera|abolen|abolamos|abolámoste|abólela|abolieron|abolirlos|aboliéndolo|abolámoslo|abolámoslos|abólannos|aboliéndote|abolíamos|abolirse|abolidlo|abolidle|abólanle|abólelas|abolámosle|abólase|aboliría|abólele|abolidlas|abolíais|aboliréis|abólame|abolieran|abolieseis|abolámoslas|aboliros|abolo|aboliéndonos|abolirles|abolámosla|aboliré|aboliésemos|abólanlo|abolieras|abólalo|abolámonos|aboliríais|abola|abolirnos|abolías|abolirías|abolirte|aboliéndolas|abólanse|aboliéndoos|abolida|abolirlo|abólanos|abolámosles|abolidles|abolidme|aboliéremos|abólelo|aboliese|abóleme|abólanles|abolirían|abólanme|abolía|abolí|aboliere|aboliéndole|abole|aboliéndose|aboliríamos|abolimos|abolidnos|abolisteis|abolidla|abolirá|abólala|aboliéramos|abolirlas|abolieren|abólete|abolierais|abolidos
abollado	abolladas|abollada|abollados
abominación	abominaciones
abonado	abonados
abono	abonos
abordaje	abordajes
abordar	abordándola|abórdeme|abordémosles|aborden|abordáis|abordadas|abordarlo|abordándolos|abordare|abórdenles|abordarlas|abordaseis|abordaron|abordases|abordadlos|abórdela|abordaréis|abordarla|abordarse|abórdele|abordadnos|abordaran|abordo|abordéis|abórdate|abórdenlos|abordadle|abordabais|abordás|abordaré|abordaras|abórdalos|abordad|abordándolas|abordarían|abordaos|abordémosle|abordásemos|abordadla|abordaban|abórdeles|abordáremos|abordándome|abordábamos|abórdala|abordasen|abordadles|abordarías|abordas|abordareis|abordémoos|abordándolo|abordándose|abordá|abordadme|abordarais|abordémosla|abordaren|abordamos|abordarás|abórdennos|abordaros|abórdelo|abordes|abordémoslas|abordarles|aborde|abordándoles|abórdense|abordado|abordaría|abordaremos|abordándonos|abordándole|abordadlo|abórdenle|abordaríais|abordés|abordáramos|abordados|abordemos|abordarnos|abordarlos|abordaba|abordarte|abordémoste|abórdese|abordémoslo|aborda|abórdelas|abordémoslos|abordase|abordarán|abordó|abórdenla|abordándote|abordémonos|abórdame|abórdanos|abórdelos|abórdenlas|abordarle|abórdalas|abordan|abórdalo|abordé|abordada|abordares|abórdenlo|abordándoos|abordaste|abórdales|abordabas|abordadlas|abórdenos|abordara|abórdale|abórdenme|abordarme|abordando|abordará|abordaríamos|abordasteis
aborigen	aborígenes
aborrecer	aborreces|aborreceríamos|aborrézcalos|aborreceríais|aborrecido|aborrecé|aborreciéremos|aborrecedla|aborrecieren|aborrézcalo|aborrecerá|aborrézcanle|aborrezco|aborreciéndonos|aborrezcámoslo|aborrezcamos|aborrecedles|aborrecernos|aborrecemos|aborreciésemos|aborrecían|aborreciéndolo|aborrézcanla|aborrecisteis|aborrecías|aborrecieseis|aborreceos|aborrezcámosle|aborrece|aborrézcame|aborrecen|aborrezcámosla|aborrecedlo|aborrecieran|aborrecía|aborrezcás|aborrézcanlas|aborrecí|aborrecedme|aborreciéndome|aborrezcámosles|aborreciereis|aborrecerlo|aborrecerían|aborreciéndola|aborrezcas|aborréceme|aborrecednos|aborrézcanse|aborrézcannos|aborrecerlos|aborrecerse|aborrecerán|aborrécelos|aborrecéis|aborrecieras|aborreciéndoles|aborrecés|aborrecedlas|aborreciéndose|aborrézcalas|aborreciendo|aborreciéndoos|aborrecerías|aborrecedlos|aborrecimos|aborrécelas|aborrezcámonos|aborrézcales|aborrécete|aborrecería|aborrecíais|aborrecieres|aborréceles|aborrezca|aborrézcanos|aborrézcanlo|aborrecerles|aborrécele|aborrecíamos|aborrezcan|aborreceremos|aborrecerme|aborrecieses|aborreced|aborrézcase|aborrézcala|aborrecedle|aborrecerle|aborrezcámoste|aborrécenos|aborreciera|aborreciéndolos|aborreceréis|aborreceros|aborreciéramos|aborreciéndolas|aborrecerte|aborrecidas|aborreciere|aborreciese|aborrecerlas|aborreciesen|aborrézcanles|aborrécelo|aborreceré|aborrecidos|aborreciéndole|aborrezcáis|aborrezcámoos|aborreciéndote|aborrecerás|aborrécela|aborrecierais|aborrézcale|aborrecerla|aborrecieron|aborrezcámoslos|aborrecida|aborrézcanlos|aborrezcámoslas|aborreció|aborreciste|aborrézcanme
aborrecimiento	aborrecimientos
abortar	abortase|abortara|abortarte|abórtalos|abortándolos|abórtenlos|abortándote|abórtalo|abortadles|abortaremos|abórtate|abortémoos|abortabas|abortémoslo|abortarlo|abortarlas|abortémosla|abortaste|abortados|abortarlos|abórtense|abortando|abortáis|abortándoos|abórtenla|aborte|abortases|abortándose|abortarla|abórtelas|abortarles|abortándoles|abortes|aborten|abortad|abórtenlas|abortas|abórtale|abortarle|abortaríais|abortadlos|abortemos|abortadas|abórtese|abórtala|abortarás|abortadlas|abórtenme|abortábamos|abortabais|abortarías|abortarais|abortasen|abortáremos|abórtales|abortadlo|abortare|abortásemos|abortarme|abortan|abortaras|abortadla|abortándola|abortéis|abortareis|abortémoslas|abortaréis|abortaros|abortarían|abórtanos|abortamos|abortarnos|abórtenlo|abortaren|abórtele|abortaron|abórtennos|abortaseis|abortés|abortó|abortarán|abórtenles|abortará|abórtelos|abórtenle|abortarse|abortáramos|abórtela|abortémosles|abortadle|abórtalas|abortá|abortándome|abortaos|abortaba|abórteles|abortémoslos|abortada|abortaría|abórtenos|abortémonos|abortadme|abortaban|abortado|abortasteis|abórteme|aborto|abórtelo|abortás|abortémoste|abortándonos|abortaré|abortaran|abortares|abortadnos|abortándolo|abórtame|abortémosle|abortándole|aborté|abortándolas|aborta|abortaríamos
abortista	abortistas
abortivo	abortivos|abortiva|abortivas
aborto	abortos
abovedado	abovedada|abovedados|abovedadas
abra	abras
abrasador	abrasadores|abrasadora|abrasadoras
abrasión	abrasiones
abrazar	abrazarse|abrazándonos|abrazándolos|abrazarte|abrazaros|abracémoslo|abrazás|abrazarlas|abrazareis|abrácense|abrácenle|abrazásemos|abracen|abracémosla|abrazaríais|abrazadla|abrácenme|abrázame|abracémoslos|abrácenla|abrazada|abracémoos|abrazaseis|abrácese|abracémonos|abrazado|abrázales|abrazo|abrazándote|abracémosles|abrazara|abrazarlos|abrazaríamos|abrácennos|abrazaos|abrazáremos|abrázala|abrazáis|abrázate|abrácele|abrácenlos|abrazaran|abrazados|abrazadlas|abrácela|abrazando|abrazará|abrazándoles|abrácelo|abrázalo|abrazadlo|abrácenlo|abrazándolas|abrazas|abrázale|abrazadles|abrazarán|abrazarle|abrazasteis|abrazases|abrazare|abrazándolo|abraza|abrazamos|abrazad|abrazaban|abrácenlas|abráceles|abrazarme|abrazaren|abrazaría|abrácelos|abracés|abrazaras|abrazáramos|abrazarían|abrazó|abracemos|abrázanos|abrázalos|abrazaremos|abrazarnos|abráceme|abrazaron|abrazarla|abrazabas|abrazan|abrazabais|abracéis|abrazares|abrazándola|abrazándoos|abrazadas|abrazarías|abrazándome|abrazá|abrácenos|abrazándose|abrazadlos|abrácelas|abrazarles|abrazadme|abrácenles|abrazaréis|abracé|abrazadnos|abracémoslas|abracémosle|abrazasen|abrazaste|abraces|abrázalas|abrazarlo|abrazadle|abrazarás|abracémoste|abrazábamos|abrace|abrazaré|abrazaba|abrazándole|abrazase|abrazarais
abrazo	abrazos
abreviado	abreviados|abreviada|abreviadas
abreviatura	abreviaturas
abridor	abridora|abridores|abridoras
abrigado	abrigados|abrigadas|abrigada
abrigo	abrigos
abril	abriles
abrir	ábranles|abrámonos|abriéndoos|abriste|ábrele|abristeis|abrirá|abráis|abriéndote|ábranse|abriese|abrires|abrámoslos|abridnos|abrámosle|abriéndolo|ábranlo|ábreme|abría|abrirte|abriereis|abriremos|abrirlas|abrámoslo|ábrete|abriésemos|abrirlo|abrámosla|ábranlas|abrimos|abrirle|ábrala|abriendo|abrieran|abriéndose|abrieses|ábralos|abridle|abrirla|abierta|abriere|abrieseis|abrámoste|abrierais|abrió|abriéremos|ábranos|abrirían|abriría|abriríamos|abres|abrámoos|abrís|abrieras|abrás|abrirán|abriros|ábrase|ábranme|abriéndome|abriéndola|abras|abridlos|ábranlos|abriéramos|abriréis|abiertos|abrirme|abridles|ábreles|abriesen|abriera|abrían|abierto|ábrannos|abríais|ábralo|ábrales|ábranla|abrirse|abrí|abrías|abra|abridla|abran|abiertas|abrid|abriéndolos|ábrelas|ábranle|abridme|ábrenos|ábrelos|abrieres|abre|abrirás|ábrela|ábralas|abrámosles|ábrelo|abriré|abrieron|abrirnos|abrieren|abridlas|abren|abriríais|abriéndoles|abrámoslas|abrirías|abriéndonos|ábrale|abrirlos|ábrame|abramos|abríos|abríamos|abriéndolas|abro|abridlo|abrirles|abriéndole
abrochar	abrocharlos|abrochándonos|abrochándolo|abrochásemos|abrocharía|abrocharles|abróchalo|abrocharas|abróchenles|abróchanos|abrochándote|abrochan|abrochémoste|abróchenlos|abrochabais|abrochémoslas|abrocháramos|abrochadas|abróchenla|abrochás|abrócheles|abroché|abrocharlas|abrochadnos|abrocharías|abrocharemos|abrochareis|abróchale|abróchele|abrochasen|abrochá|abrochándose|abrocharme|abróchame|abrochándolas|abrochad|abrocharéis|abrochés|abrocharais|abrocharíais|abrocharían|abrochándola|abróchese|abrocharte|abrocharon|abróchalos|abrochares|abróchenle|abrocharan|abrocharán|abrocharnos|abróchales|abrochará|abrochaseis|abrochadlos|abróchennos|abróchala|abrochadme|abrocharé|abrochémoslo|abróchalas|abrochándome|abrochaste|abrochábamos|abrochándolos|abrocharse|abrochadles|abrochaba|abróchenos|abrochémosla|abrocháis|abrochasteis|abrochándole|abrocho|abrocharla|abróchenme|abróchelas|abrochémosle|abrochaos|abrocha|abrocharen|abrochando|abrochase|abrocharos|abrochadlas|abrochada|abrochen|abrocharlo|abróchate|abrochemos|abróchenlas|abrócheme|abrochándoos|abrochara|abrocháremos|abrochases|abrochare|abrochémonos|abrochémosles|abrochó|abrochadla|abróchenlo|abroches|abrochabas|abroche|abrochado|abrochas|abrochamos|abróchense|abrochémoslos|abrocharás|abrochadle|abróchelo|abrochémoos|abrochándoles|abróchela|abrochéis|abrocharíamos|abróchelos|abrochados|abrocharle|abrochadlo|abrochaban
abrogación	abrogaciones
